City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Durres,AL,51.98,broken clouds,41.3231,19.4414,Palace Hotel & Spa Durrës
4,Port Macquarie,AU,66.88,clear sky,-31.4333,152.9167,Rydges Port Macquarie
5,Mataura,NZ,48.2,overcast clouds,-46.1927,168.8643,Ellie's Villa
7,Saint-Philippe,RE,74.75,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
8,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
9,Cape Town,ZA,66.09,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
10,Sotnikovskoye,RU,39.07,clear sky,45.0039,43.7772,
11,Charters Towers,AU,69.82,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
14,New Norfolk,AU,48.92,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
15,Rikitea,PF,73.27,scattered clouds,-23.1203,-134.9692,People ThankYou
19,Sitka,US,41.31,light rain,57.0531,-135.33,Westmark Sitka
20,Ribeira Grande,PT,61.2,broken clouds,38.5167,-28.7,Quinta da Meia Eira
21,Gat,IL,74.91,overcast clouds,31.61,34.7642,OlusHome
22,Port Elizabeth,ZA,64.69,few clouds,-33.918,25.5701,39 On Nile Guest House
24,Albany,US,44.19,light rain,42.6001,-73.9662,
25,Valdivia,CL,57.29,few clouds,-39.8142,-73.2459,Hostal Entre Rios
28,Busselton,AU,53.04,few clouds,-33.65,115.3333,Observatory Guest House
30,Punta Arenas,CL,57.31,overcast clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
31,Ushuaia,AR,58.66,few clouds,-54.8,-68.3,Albatros Hotel
34,Halol,IN,67.06,clear sky,22.5,73.4667,"Hotel Valley - Rooms, Banquet, Party Plot"
35,Hofn,IS,47.41,moderate rain,64.2539,-15.2082,Hótel Höfn
38,Vestmannaeyjar,IS,50.02,overcast clouds,63.4427,-20.2734,Glamping & Camping
40,Adet,ET,58.15,overcast clouds,11.2644,37.4888,Shama Hotel
42,Nikolskoye,RU,36.81,overcast clouds,59.7035,30.7861,Tourist House - Sablino
46,East London,ZA,66.0,overcast clouds,-33.0153,27.9116,Tu Casa
47,Aleksandrovskoye,RU,42.94,clear sky,44.7142,43.0008,Mini hotel Tranzit
48,Haren,DE,51.15,overcast clouds,52.7833,7.2333,Hotel Greive
50,Victoria,HK,69.33,clear sky,22.2855,114.1577,Mini Hotel Central
52,Oktyabrskoye,RU,35.74,clear sky,43.0645,44.7417,Prolesok Mini-hotel
53,Fukue,JP,60.17,light rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
54,Arraial Do Cabo,BR,71.46,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
56,Hermanus,ZA,62.91,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
57,Port Alfred,ZA,63.39,broken clouds,-33.5906,26.891,The Halyards Hotel
58,Hobart,AU,49.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
59,Carnarvon,AU,66.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
62,Bluff,NZ,49.51,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
64,Jamestown,US,37.29,snow,42.097,-79.2353,Hampton Inn & Suites Jamestown
67,Lampang,TH,68.38,broken clouds,18.3333,99.5,Mrs Luis Guest House
68,Wanning,CN,66.92,broken clouds,18.8003,110.3967,Paradise Hotel
70,Meadow Lake,US,70.61,clear sky,34.8014,-106.5436,TumbleWeed RV Park
75,Kaitangata,NZ,53.92,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
76,Smithers,CA,35.92,scattered clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
80,Netrakona,BD,63.27,few clouds,24.8833,90.7167,kurpar gas office
81,Mbuji-Mayi,CD,69.46,moderate rain,-6.15,23.6,GKT Hotel
88,Cidreira,BR,67.59,clear sky,-30.1811,-50.2056,Hotel Castelo
89,Hasaki,JP,46.8,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
90,Alice Springs,AU,53.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
93,Avarua,CK,71.65,broken clouds,-21.2078,-159.775,Paradise Inn
94,Fortuna,US,69.19,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
97,Chuy,UY,66.11,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
100,Esperance,AU,46.24,scattered clouds,-33.8667,121.9,Hospitality Esperance
101,Searcy,US,54.25,clear sky,35.2506,-91.7363,"Holiday Inn Express & Suites Searcy, an IHG Hotel"
102,Airai,TL,62.35,overcast clouds,-8.9266,125.4092,Juvinal Martin
104,Phaltan,IN,74.79,overcast clouds,17.9833,74.4333,Hotel New Vijay
107,Praia Da Vitoria,PT,59.76,broken clouds,38.7333,-27.0667,Hotel Branco I
108,Husavik,IS,48.11,overcast clouds,66.0449,-17.3389,Bjarnabúð
110,Turka,UA,42.15,broken clouds,49.1541,23.0297,Мотель
111,Cheshunt,GB,53.94,overcast clouds,51.7079,-0.0374,Cheshunt Marriott Hotel
116,Carballo,ES,52.86,few clouds,43.213,-8.691,Pazo do Souto
118,Castro,BR,60.82,clear sky,-24.7911,-50.0119,CHACARA BAILLY
119,Asau,RO,42.4,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
125,Bud,US,37.9,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
128,Port Lincoln,AU,55.09,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
130,Dinard,FR,56.01,overcast clouds,48.6314,-2.0614,Novotel Thalassa Dinard
131,Safaga,EG,71.55,broken clouds,26.7292,33.9365,Lamar Resort Abu Soma
132,Saint-Pierre,RE,74.84,clear sky,-21.3393,55.4781,Lindsey Hôtel
134,Ancud,CL,59.43,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
135,Ankazoabo,MG,73.9,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
139,Tongling,CN,49.44,clear sky,30.95,117.7833,Huoxian Hotel
140,Wollongong,AU,60.93,few clouds,-34.4333,150.8833,Flinders Motel
143,Bredasdorp,ZA,56.28,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
144,Dunedin,NZ,54.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
145,San Carlos De Bariloche,AR,49.75,broken clouds,-41.1456,-71.3082,Hotel Patagonia
147,Lebu,CL,55.62,clear sky,-37.6167,-73.65,Hostal Las Lilas
149,Marsabit,KE,70.36,light rain,2.3284,37.9899,Chicho Hotel
150,Kenitra,MA,50.76,clear sky,34.261,-6.5802,Bienvenue chez vous
152,Shahdadpur,PK,62.6,clear sky,25.9241,68.62,GPF-1 Accomodation
153,Lata,PT,56.8,broken clouds,40.1629,-8.3327,Casa Maquia
154,Melilla,ES,61.18,few clouds,35.2937,-2.9383,Hotel Nacional
155,Seoul,KR,47.71,broken clouds,37.5683,126.9778,Lotte Hotel Seoul
158,Lopatinskiy,RU,37.89,overcast clouds,55.3406,38.7256,Kvartira Na Sutki
159,Coquimbo,CL,65.93,clear sky,-29.9533,-71.3436,Punto de encuentro
162,Le Pradet,FR,60.49,clear sky,43.1066,6.0172,Hôtel Kyriad Toulon La Garde
164,Gazli,UZ,41.47,scattered clouds,40.1333,63.45,
167,Varhaug,NO,43.9,scattered clouds,58.6147,5.6457,Jonas Bue
168,Ginir,ET,59.07,broken clouds,7.1333,40.7,Sura Dare Village
169,Emerald,AU,59.14,clear sky,-23.5333,148.1667,The Irish Village
172,Lagoa,PT,63.09,overcast clouds,39.05,-27.9833,Casa Das Faias
173,Saldanha,ZA,62.92,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
175,Katsuura,JP,62.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
177,Mao,ES,61.36,broken clouds,39.8885,4.2658,ARTIEM Capri
179,Tawang,IN,36.43,few clouds,27.5833,91.8667,Hotel Mount View
180,Tekeli,KZ,37.2,overcast clouds,44.83,78.8239,Vuslat Tekeli
186,Bayji,IQ,61.21,clear sky,34.9311,43.487,مروان /عدنان
187,Port Hardy,CA,46.4,light rain,50.6996,-127.4199,Airport Inn
189,Halifax,CA,59.05,overcast clouds,44.6453,-63.5724,Hotel Halifax
192,Ponta Do Sol,PT,68.63,broken clouds,32.6667,-17.1,Hotel do Campo
194,Oga,IT,37.81,overcast clouds,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
196,Vitry-Le-Francois,FR,50.13,overcast clouds,48.7333,4.5833,Hôtel Tambourin
198,Hamilton,US,41.59,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
200,Byron Bay,AU,66.15,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
201,Nantucket,US,55.96,clear sky,41.2835,-70.0995,Jared Coffin House
203,Havre-Saint-Pierre,CA,39.79,broken clouds,50.2334,-63.5986,Auberge Niapiskau
206,Severnyy,RU,35.64,broken clouds,50.677,36.5532,Full House North Mini-Hotel
207,Zheleznodorozhnyy,RU,37.58,overcast clouds,55.7503,38.0042,Hotel Dali
210,Ulladulla,AU,60.87,broken clouds,-35.35,150.4667,Sandpiper Motel
217,Constitucion,CL,58.03,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
218,Stornoway,GB,51.76,light rain,58.2093,-6.3865,Caladh Inn
220,Olovo,BA,40.95,overcast clouds,44.13,18.5828,Motel vizija
221,Tura,IN,59.76,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
224,Lebork,PL,44.92,overcast clouds,54.5392,17.7501,Vega
225,Rocha,UY,66.34,clear sky,-34.4833,-54.3333,Hotel Arrarte
227,Bethel,US,56.84,light rain,41.3712,-73.414,Courtyard by Marriott Danbury
230,Hakkari,TR,38.28,clear sky,37.5833,44.1667,Koprucek Koyu Muhtarligi
231,Rio Cuarto,AR,62.37,light rain,-33.1307,-64.3499,Grand Hotel Río Cuarto
233,Torbay,CA,44.58,light intensity shower rain,47.6666,-52.7314,Gallows Cove
235,Coihaique,CL,61.41,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
236,Barcelona,ES,61.86,scattered clouds,41.3888,2.159,Axel Hotel Barcelona
237,Darnah,LY,66.65,overcast clouds,32.767,22.6367,فندق الفردوس
238,Komsomolskiy,UZ,38.62,mist,40.4272,71.7189,Ikathouse
241,Tuatapere,NZ,48.7,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
247,West Wendover,US,59.81,overcast clouds,40.7391,-114.0733,"Motel 6 Wendover, UT"
249,Jenison,US,42.06,overcast clouds,42.9072,-85.792,"Holiday Inn Express Grand Rapids SW, an IHG Hotel"
252,Atambua,ID,74.73,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
253,Severo-Kurilsk,RU,38.64,scattered clouds,50.6789,156.125,Kak Doma
254,Las Choapas,MX,71.29,overcast clouds,17.9333,-94.0833,Hotel Jysmak
255,Fevik,NO,42.57,overcast clouds,58.3794,8.6766,Strand Hotel Fevik - by Classic Norway Hotels
258,Clarksburg,US,42.08,broken clouds,39.2807,-80.3445,Greenbrier Motel & Restaurant
259,Namibe,AO,71.51,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
261,Sorland,NO,39.27,broken clouds,67.667,12.6934,Sjybrygga fiskecamp
262,Cedral,MX,66.25,broken clouds,23.8,-100.7333,Hotel Rocio
263,Grindavik,IS,50.47,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
267,Valparaiso,CL,68.23,clear sky,-33.0393,-71.6273,Hotel Ultramar
268,Chama,CH,49.05,mist,47.1821,8.4636,City Garden Hotel
269,Sept-Iles,CA,38.05,overcast clouds,50.2001,-66.3821,Comfort Inn
270,Kabanga,TZ,60.67,overcast clouds,-2.6386,30.4678,ALPHA HOTEL
271,Klaksvik,FO,47.32,overcast clouds,62.2266,-6.589,Airbnb rooms
273,Marawi,PH,65.64,overcast clouds,7.9986,124.2928,Derogongan Residence
279,Basoko,CD,71.62,overcast clouds,1.2391,23.616,Jackyna Hotel
280,Sigmaringen,DE,45.27,overcast clouds,48.0833,9.2167,Jägerhof
281,Guia De Isora,ES,63.32,broken clouds,28.2115,-16.7795,La Vista Pension
282,Lishui,CN,45.95,clear sky,28.4604,119.9103,Bayi Hotel
283,Malmesbury,ZA,64.76,broken clouds,-33.4608,18.7271,SuNel's Guest Rooms
284,Marmande,FR,55.71,overcast clouds,44.5,0.1667,Hôtel Restaurant Campanile Marmande
285,Marshall,US,52.12,clear sky,34.3834,-86.3333,Riverview Campground
287,Caravelas,BR,69.48,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
288,Namanyere,TZ,69.06,overcast clouds,-7.5167,31.05,Manyovu Lodge
289,Kaman,IN,65.7,clear sky,27.65,77.2667,Dr.kishan kaman
290,Xinyu,CN,50.5,few clouds,27.8043,114.9334,Xinyu Beihu Hotel
291,Eleousa,GR,49.51,overcast clouds,39.7064,20.7925,Tsironis Rooms
293,Hede,CN,46.17,clear sky,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
295,Te Anau,NZ,46.58,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
297,Broome,US,43.02,overcast clouds,42.2506,-75.833,Chenango Valley State Park
299,Kitsuki,JP,52.05,overcast clouds,33.4167,131.6167,里
302,Camacupa,AO,64.83,light rain,-12.0167,17.4833,seviremde seni
306,Codrington,AU,46.56,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
307,Muros,ES,58.84,few clouds,42.7762,-9.0603,Apartment Av. Castelao
311,Rawson,AR,62.92,moderate rain,-43.3002,-65.1023,Hosteria Sampedro
313,Bam,IR,58.51,clear sky,29.106,58.357,Bam Tourist Hotel
314,Mar Del Plata,AR,69.1,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
315,Porto Santo,PT,67.91,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
321,Baleshwar,IN,72.43,overcast clouds,21.4942,86.9317,Banjara Hotels Pvt Ltd
322,Palivere,EE,38.68,overcast clouds,58.9664,23.8911,Roska kodu
324,Sungaipenuh,ID,65.52,overcast clouds,-2.0833,101.3833,penginapan citra alam
326,Zhuhai,CN,69.06,clear sky,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
327,Sestri Levante,IT,60.64,light rain,44.2732,9.3968,Grande Albergo
328,Mogok,MM,62.17,light rain,22.9167,96.5,MOGOK HILL HOTEL
329,Somerset East,ZA,55.44,clear sky,-32.7217,25.588,Mbali Lodge
333,Camana,PE,67.08,broken clouds,-16.6228,-72.7111,Hostal Morales
335,Heze,CN,46.78,clear sky,35.2431,115.4411,Hanting Express Heze North Mudang Road University Town
336,Sakakah,SA,67.57,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
340,Kutum,SD,71.47,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
343,Valentin Gomez Farias,MX,70.9,clear sky,28.2167,-106.5833,
345,Nouadhibou,MR,69.78,clear sky,20.931,-17.0347,El Medina
346,Necochea,AR,72.84,moderate rain,-38.5473,-58.7368,dyd -mar Hotel
348,Taybad,IR,39.96,clear sky,34.74,60.7756,لی پوش jean center
349,Sao Joao Da Barra,BR,71.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
351,Erzin,TR,54.12,overcast clouds,36.9559,36.2,Artemis Otel
352,Balakovo,RU,35.58,overcast clouds,52.0278,47.8007,Victoria Hotel
356,Sarwar,IN,65.43,clear sky,26.0667,75.0,सैनी समाज भवन न.2
359,Ahipara,NZ,66.7,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
361,Ryde,GB,53.82,overcast clouds,50.73,-1.1621,Dorset Hotel
362,Qom,IR,53.13,clear sky,34.6401,50.8764,Qom Hotel
363,Anaconda,US,49.19,broken clouds,46.1285,-112.9423,Trade Wind Motel
364,Sedalia,US,44.92,scattered clouds,38.7045,-93.2283,Best Western State Fair Inn
365,Tucumcari,US,73.94,scattered clouds,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
367,Colares,PT,62.33,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
369,Marsaxlokk,MT,63.09,clear sky,35.8419,14.5431,Water's Edge
371,Hanumangarh,IN,65.59,clear sky,29.5833,74.3167,SPOT ON 66636 Cps Resorts
373,Kaohsiung,TW,66.15,few clouds,22.6163,120.3133,御宿商旅-中山館
376,Sao Filipe,CV,74.77,scattered clouds,14.8961,-24.4956,Hotel Xaguate
377,Awbari,LY,73.26,broken clouds,26.5921,12.7805,فندق أوباري
378,Gamboula,CF,68.86,light rain,4.1178,15.1393,
380,Kunming,CN,46.33,mist,25.0389,102.7183,Green Land Hotel
384,Baherden,TM,48.79,clear sky,38.4362,57.4316,
386,Assiniboia,CA,40.82,overcast clouds,49.6334,-105.9845,Canalta Hotel Assiniboia
390,Mae Sot,TH,70.2,broken clouds,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
392,Kruisfontein,ZA,60.89,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
393,Fort Nelson,CA,37.67,clear sky,58.8053,-122.7002,The Fort Nelson Hotel
394,Port Augusta,AU,51.71,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
397,Chicama,PE,64.94,broken clouds,-7.8447,-79.1469,Balihai Bungalows
398,Geraldton,AU,55.81,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
399,Havelock,US,72.01,clear sky,34.8791,-76.9013,Sherwood Motel
403,Saint-Joseph,RE,73.76,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
405,Getahovit,AM,46.94,clear sky,40.8978,45.1392,Lina Guest House
409,Gallup,US,61.02,clear sky,35.5281,-108.7426,El Capitan Motel
412,Mazara Del Vallo,IT,59.54,few clouds,37.6641,12.588,Vizier Resort & Spa
413,Aguimes,ES,65.03,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
416,Iringa,TZ,63.95,scattered clouds,-7.7667,35.7,M.R. Hotels ltd.
418,Bowen,AU,62.82,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
420,Puerto Madryn,AR,62.98,moderate rain,-42.7692,-65.0385,Hotel Tolosa
422,Temiscaming,CA,40.51,overcast clouds,46.7212,-79.0971,Auberge Canadienne
424,Los Llanos De Aridane,ES,62.35,few clouds,28.6585,-17.9182,Valle Aridane
425,Inverbervie,GB,48.63,scattered clouds,56.8446,-2.28,Hallgreen Castle
436,Griffith,US,39.06,overcast clouds,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
437,Burnie,AU,49.41,light rain,-41.0667,145.9167,Beachfront Voyager Motor Inn
440,Kamenka,RU,37.06,overcast clouds,51.3223,42.7678,
441,Quzhou,CN,49.08,clear sky,28.9594,118.8686,Quzhou Jiujiu Business Hotel
444,Tahta,EG,71.92,clear sky,26.7693,31.5021,مصطفي عساف
445,Kampene,CD,68.45,light rain,-3.6,26.6667,
449,Hlotse,LS,62.85,scattered clouds,-28.8718,28.045,Naleli Guest House
451,Bay Roberts,CA,45.34,light rain,47.5999,-53.2648,Stonewall Inn
455,Sidi Ali,DZ,56.35,clear sky,36.0998,0.4206,
457,Vegueta,PE,66.83,scattered clouds,-11.0231,-77.6431,Hospedaje Gavión
459,Marienburg,PL,44.85,overcast clouds,54.0359,19.0266,Hotel Centrum Malbork
462,Ramban,IN,49.87,clear sky,33.25,75.25,Naaz Hotel
463,Kefalos,GR,62.82,few clouds,36.7453,26.9589,Kokalakis Hotel
464,Vale Da Amoreira,PT,55.62,few clouds,39.0697,-7.6985,Hotel Candolaria Cabeço De Vide
465,Antakya,TR,59.97,overcast clouds,36.2066,36.1572,The Liwan Hotel
466,Yarke Pole,UA,44.29,few clouds,45.608,34.3172,
467,Marystown,CA,48.85,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
469,Mikhaylovka,RU,40.3,overcast clouds,50.06,43.2379,5 Komnat
470,Viedma,AR,61.81,overcast clouds,-40.8135,-62.9967,Hotel Cristal
471,Senneterre,CA,35.82,overcast clouds,48.3835,-77.2328,Motel Senabi
472,Addanki,IN,74.62,overcast clouds,15.8167,79.9833,A Home
473,Carbonia,IT,60.01,light rain,39.1672,8.5222,Lu 'Hotel
474,Westport,US,58.46,overcast clouds,41.1415,-73.3579,Norwalk Inn
475,Ziyang,CN,45.95,clear sky,29.2497,117.8547,Wuyuan Great Wall Hotel
477,Tarime,TZ,67.12,overcast clouds,-1.35,34.3667,Kifa Best Point Hotel
478,Monte Carmelo,BR,69.39,overcast clouds,-18.7247,-47.4986,Park hotel
480,Rabo De Peixe,PT,66.27,broken clouds,37.8,-25.5833,Quinta das Giestas
481,Zhanaozen,KZ,41.95,overcast clouds,43.3,52.8,K.korabay 28A
485,Itanagar,IN,60.39,few clouds,27.1,93.6167,Hotel Moomsie Itanagar
486,Spinus,RO,35.65,broken clouds,47.2,22.2,
487,Azuqueca De Henares,ES,54.91,clear sky,40.5669,-3.2599,Miralcampo
488,Concepcion,CL,58.8,clear sky,-36.827,-73.0498,Hotel El Araucano
491,Churachandpur,IN,58.78,overcast clouds,24.3333,93.6667,Happiness Home
495,Csepreg,HU,42.39,overcast clouds,47.401,16.7088,Termál Vendégház
497,Barkly West,ZA,67.28,scattered clouds,-28.5354,24.5215,Stafford Parker Guest House
501,Tanabe,JP,53.37,overcast clouds,33.7333,135.3667,美吉屋旅館
503,Plettenberg Bay,ZA,60.67,few clouds,-34.0527,23.3716,Thanda Vista B&B
504,Krasnyy Yar,RU,35.53,clear sky,46.5331,48.3456,Cottege near Ufa
505,Zunyi,CN,46.02,broken clouds,27.6867,106.9072,Bishiluo Hostel
506,Sainte-Thecle,CA,43.32,overcast clouds,46.8168,-72.4991,Camping Lac et Forêt
512,Caceres,ES,53.8,scattered clouds,39.522,-6.3748,Ahc Hoteles
514,Lakes Entrance,AU,55.17,scattered clouds,-37.8811,147.981,The Esplanade Resort & Spa
515,Itaberaba,BR,74.37,overcast clouds,-12.5275,-40.3069,Araújo Hotel
519,Russell,US,58.91,clear sky,32.3502,-85.1999,Macs
520,Eureka,US,69.21,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
522,Putai,FR,50.09,overcast clouds,46.6579,1.9863,La Croix Verte
526,Araucaria,BR,61.92,broken clouds,-25.5931,-49.4103,Hotel San Gabriel
528,Goba,ET,49.06,broken clouds,7.0167,39.9833,Goba Wabe Shebelle Hotel
531,Ambalavao,MG,66.43,light rain,-21.8333,46.9333,Hôtel Le Tropik
534,Riobamba,EC,62.51,light rain,-1.6667,-78.6333,Mansion Santa Isabella
536,Jumla,NP,42.33,clear sky,29.2747,82.1838,Royal Garden Hotel
539,Nelson Bay,AU,63.1,clear sky,-32.7167,152.15,Mantra Nelson Bay
542,Qiyang,CN,53.83,broken clouds,26.5911,111.8474,鑫利大酒店
543,Murgab,TM,40.87,scattered clouds,37.4966,61.9714,
545,Gedo,ET,55.42,overcast clouds,9.0167,37.45,Mida Qanyi
552,Mount Isa,AU,58.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
557,Bedele,ET,54.41,light rain,8.456,36.353,Central Hotel
559,Ouesso,CG,71.08,moderate rain,1.6136,16.0517,ABENIE Hotel
561,Yulara,AU,55.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
564,San Jeronimo,PE,62.37,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
565,Virginia Beach,US,66.42,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
566,Ketchikan,US,41.36,light rain,55.3422,-131.6461,Snow's Cove Lodge
567,Najran,SA,57.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
569,Blyth,GB,51.37,overcast clouds,55.1271,-1.5086,Carlton house
575,Gonbad-E Qabus,IR,51.87,clear sky,37.25,55.1672,Samin Building
580,Yarmouth,US,56.17,clear sky,41.7057,-70.2286,Blue Rock Resort
582,Skala Fourkas,GR,51.55,overcast clouds,39.9998,23.3841,Idea Holiday
588,Taltal,CL,67.24,few clouds,-25.4,-70.4833,Residencial Karime
589,Xinzhi,CN,42.58,clear sky,36.4989,111.7047,Mingyue Hotel
590,Port Hedland,AU,66.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
591,Herat,AF,41.38,clear sky,34.5,62.0,
592,Vila Franca Do Campo,PT,68.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
596,Mount Gambier,AU,44.51,broken clouds,-37.8333,140.7667,The Commodore
599,Tiznit,MA,55.36,clear sky,29.5833,-9.5,
600,Yining,CN,46.06,clear sky,29.0361,114.5636,Xiushui Hotel
607,Mianwali,PK,64.42,clear sky,32.5741,71.5264,Hashmi Plaza
608,Kumbo,CM,60.69,broken clouds,6.2,10.6667,Western Inn Resort
609,Ximei,CN,62.94,few clouds,24.9639,118.3794,Nan'an Hotel
610,Vila,PT,49.33,scattered clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
616,Tallahassee,US,70.68,clear sky,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
620,Pine Bluff,US,54.32,clear sky,34.2284,-92.0032,"Holiday Inn Express & Suites Pine Bluff, an IHG Hotel"
622,Dasoguz,TM,39.97,few clouds,41.8363,59.9666,Ташауз Отел
623,Saint Helens,GB,52.66,broken clouds,53.45,-2.7333,Hotel Mercure St Helens
626,Raudeberg,NO,44.2,scattered clouds,61.9875,5.1352,Nordre Silda.
629,Redcliffe,AU,69.98,clear sky,-27.2307,153.0973,Redvue Apartments
632,Dali,CN,50.36,broken clouds,25.7,100.1833,Dali Travelling With Hostel
633,Cambui,BR,64.2,broken clouds,-22.6122,-46.0575,Hotel Zé Maria - Cambuí
634,Zlitan,LY,69.22,overcast clouds,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
635,Brownwood,US,73.29,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
637,Vavoua,CI,72.7,light rain,7.3819,-6.4778,Hotel Le Peuple
640,Thasra,IN,67.93,clear sky,22.8,73.2167,Sajjad Kureshi ( APNA PAAN 🚬 SENTER )
642,Marzuq,YE,64.94,clear sky,14.4,46.4667,
645,Kropotkin,RU,41.27,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
648,Winnemucca,US,58.1,broken clouds,40.973,-117.7357,Winners Inn Casino
649,Da Nang,VN,71.58,broken clouds,16.0678,108.2208,Sun River Hotel
651,Arak,IR,42.64,clear sky,34.0917,49.6892,Zagros Hotel
652,Puerto Del Rosario,ES,67.75,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
657,Pietermaritzburg,ZA,64.76,overcast clouds,-29.6168,30.3928,Redlands Hotel
658,Zemio,CF,71.71,scattered clouds,5.0314,25.1361,OCHA Office
659,Naze,JP,59.99,light rain,28.3667,129.4833,Shishime Hotel
666,Sayyan,YE,50.61,clear sky,15.1718,44.3244,متنزه و بحيرة سيان
668,Worland,US,63.75,scattered clouds,44.0169,-107.9554,Town House Motor Inn
670,Cascais,PT,62.51,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
672,Tecpan,GT,63.61,broken clouds,14.7623,-90.9947,San Ricardo Restaurante y Hotel
